ABP	Algemeen Burgerlijk Pensioenfonds 
ABW	Algemene Bijstandswet 
AKW	Algemene Kinderbijslagwet 
AMA	Alleenstaande Minderjarige Asielzoeker 
AMVB	Algemene Maatregel van Bestuur 
AMW	Algemeen Maatschappelijk Werk 
ANW	Algemene Nabestaandenwet 
AOW	Algemene Ouderdomswet 
APB	Algemene Politieke Beschouwingen 
ARBVO	Arbeidsvoorziening 
AWBZ	Algemene Wet Bijzondere Ziektekosten 
AWF	Algemeen Werkloosheidsfonds 
AZ	Ministerie van Algemene Zaken 
BANS	Bestuursakkoord nieuwe stijl 
BBP	Bruto Binnenlands Product 
BEW	Bevordering Eigen Woningbezit 
BIKK	Bijdrage in de Kosten van de Kortingen 
BKZ	Budgettair Kader Zorg 
BLS	Baten-lastenstelsel 
BNP	Bruto Nationaal Product 
BSE	Bovine Spongiforme Encephalopathie 
BTW	Belasting Toegevoegde Waarde 
BUZA	Ministerie van Buitenlandse Zaken 
BVE	Beroepsonderwijs en Volwasseneneducatie 
BZK	Ministerie van Binnenlandse Zaken en Koninkrijksrelaties 
CAO	Central orgaan Opvang Asielzoekers 
CAO	Collectieve Arbeidsovereenkomst 
CARDS	Community Assistance to Reconstruction Development and stabilisation 
CBS	Centraal Bureau voor de Statistiek 
CDM	Clean Development Mechanism 
CDV	Competitieve Dienstverlening 
CEP	Centraal Economisch Plan 
CFI	Centrale Financiën Instellingen 
CJIB	Centraal Justitieel Incassobureau 
COBA	Interdepartementale Commissie voor Ontwikkeling van de Beleidsanalyse 
CPB	Centraal Planbureau 
CRIEM	Criminaliteit in relatie tot etnische minderheden 
CWI	Centra voor Werk en Inkomen 
DBC	Diagnose-behandelcombinaties 
DGW&T	Directie Gebouwen Werken & Terreinen 
DJI	Dienst Justitiële Inrichtingen 
DNB	De Nederlandsche Bank 
DTC's	Dutch Treasury Certificates 
DTO	Defensie Telematica Organisatie 
EBRD	European Bank for Reconstruction and Development 
EC	Europese Commissie 
ECU	European Currency Unit 
EET	Economie, ecologie en technologieprogramma 
EHS	Ecologische Hoofdstructuur 
EIA	Energie-investeringsaftrek 
EIB	Europese Investeringsbank 
EIF	European Investment Fund 
EK	Eerste Kamer der Staten-Generaal 
EKI	Exportkredietverzekering en Investeringsgaranties 
EMU	Economische en Monetaire Unie 
EOF	Europees Ontwikkelingsfonds 
EP	Europees Parlement 
EPK	Energieprestatiekeuring 
ESCB	Europees Stelsel van Centrale Banken 
ESF	Europees Sociaal Fonds 
ESR	Europees systeem van nationale en regionale rekeningen 
EU	Europese Unie 
EUR	Euro 
EVC	Elders verworven competenties 
EVDB	Europees Veiligheids- en Defensiebeleid 
EWLW(-banen)	Extra Werkgelegenheid voor Langdurig Werklozen; ook wel instroom- en doorstroombanen 
