aanbeveling verdienen
aanleg hebben
aanleiding geven
aansluiting vinden
aansluiting zoeken
aardigheid houden
acht slaan
afstand bewaren
afstand houden
afstand nemen
alarm blazen
alarm slaan
allure hebben
antwoord geven
antwoord krijgen
auditie doen
baat ondervinden
been zetten
beroep aan_tekenen
beroep in_stellen
boete doen
bot vangen
brand stichten
brood eten
cadeau geven
campagne voeren
carrière maken
deel hebben
deel uit_maken
dienst doen
dienst hebben
dienst nemen
dienst weigeren
doel treffen
donder zeggen
doorgang vinden
echec lijden
eenheid brengen
effect hebben
emplooi vinden
fiasco lijden
fiasco maken
front maken
genoegen nemen
genoegen scheppen
geschiedenis maken
gunst baren
huiszoeking doen
hut leggen
indruk maken
initiatief nemen
initiatief tonen
kaas eten
kaas hebben
kamp geven
katoen houden
klem hebben
kleur bekennen
klop krijgen
koe_stem houden
koers houden
koning kraaien
koop geven
korting geven
korting krijgen
kracht geven
kracht hebben
kracht putten
kracht zetten
krediet geven
kritiek geven
kritiek leveren
kritiek uit_oefenen
kritiek uiten
kwaliteit leveren
leiding geven
lering trekken
les hebben
lip_dienst bewijzen
lont ruiken
luister_vink spelen
maandag houden
mat_schudden_ding maken
melding maken
mier hebben
munt slaan
ongeluk brengen
ontslag aan_zeggen
oog hebben
oog krijgen
overeenkomst hebben
overeenkomst vertonen
partij trekken
patent aan_vragen
patent vragen
peil trekken
plaats hebben
plaats in_ruimen
pol_hoogte nemen
pootaan spelen
positie kiezen
post vatten
prijs stellen
rapport op_maken
redding brengen
rekening houden
remise spelen
richting geven
schipbreuk lijden
school lopen
school maken
slag houden
slag leveren
smoel geven
smoel hebben
spektakel maken
spreekuur houden
staat voeren
stage lopen
steek houden
stijl hebben
storm lopen
storm oogsten
stuiver wisselen
troef geven
uitdrukking geven
uiting geven
uitkomst brengen
uitspraak doen
veld winnen
verhaal halen
vlam vatten
voet geven
voet zetten
vonnis strijken
vonnis vellen
vonnis wijzen
vrucht af_werpen
vrucht dragen
woord houden
wortel schieten
zelfmoord plegen
zitting houden
zitting nemen
