word	intval	ordinal	status	correction
nul	0	False		None
een	1	False		None
enen	1	False		None
twee	2	False		None
tweeën	2	False		None
twee-en	2	False	hyphen-variant	None
tweeen	2	False	lacking-trema-or-hyphen	tweeën
drie	3	False		None
drieën	3	False		None
drie-en	3	False	hyphen-variant	None
drieen	3	False	lacking-trema-or-hyphen	drieën
vier	4	False		None
vieren	4	False		None
vijf	5	False		None
vijven	5	False		None
zes	6	False		None
zessen	6	False		None
zeven	7	False		None
zevenen	7	False		None
zeuven	7	False		zeven
zeuvenen	7	False		None
acht	8	False		None
achten	8	False		None
negen	9	False		None
negenen	9	False		None
tien	10	False		None
tienen	10	False		None
elf	11	False		None
elven	11	False		None
twaalf	12	False		None
twaalven	12	False		None
dertien	13	False		None
dertienen	13	False		None
veertien	14	False		None
veertienen	14	False		None
vijftien	15	False		None
vijftienen	15	False		None
zestien	16	False		None
zestienen	16	False		None
zeventien	17	False		None
zeventienen	17	False		None
zeuventien	17	False		zeventien
zeuventienen	17	False		None
achttien	18	False		None
achttienen	18	False		None
negentien	19	False		None
negentienen	19	False		None
twintig	20	False		None
twintigen	20	False		None
eenentwintig	21	False		None
eenentwintigen	21	False		None
tweeëntwintig	22	False		None
tweeëntwintigen	22	False		None
twee-entwintig	22	False	hyphen_variant	None
twee-entwintigen	22	False	hyphen_variant	None
tweeentwintig	22	False	lacking-trema-or-hyphen	tweeëntwintig
tweeentwintigen	22	False	lacking-trema-or-hyphen	None
drieëntwintig	23	False		None
drieëntwintigen	23	False		None
drie-entwintig	23	False	hyphen_variant	None
drie-entwintigen	23	False	hyphen_variant	None
drieentwintig	23	False	lacking-trema-or-hyphen	drieëntwintig
drieentwintigen	23	False	lacking-trema-or-hyphen	None
vierentwintig	24	False		None
vierentwintigen	24	False		None
vijfentwintig	25	False		None
vijfentwintigen	25	False		None
zesentwintig	26	False		None
zesentwintigen	26	False		None
zevenentwintig	27	False		None
zevenentwintigen	27	False		None
zeuvenentwintig	27	False		zevenentwintig
zeuvenentwintigen	27	False		None
achtentwintig	28	False		None
achtentwintigen	28	False		None
negenentwintig	29	False		None
negenentwintigen	29	False		None
dertig	30	False		None
dertigen	30	False		None
eenendertig	31	False		None
eenendertigen	31	False		None
tweeëndertig	32	False		None
tweeëndertigen	32	False		None
twee-endertig	32	False	hyphen_variant	None
twee-endertigen	32	False	hyphen_variant	None
tweeendertig	32	False	lacking-trema-or-hyphen	tweeëndertig
tweeendertigen	32	False	lacking-trema-or-hyphen	None
drieëndertig	33	False		None
drieëndertigen	33	False		None
drie-endertig	33	False	hyphen_variant	None
drie-endertigen	33	False	hyphen_variant	None
drieendertig	33	False	lacking-trema-or-hyphen	drieëndertig
drieendertigen	33	False	lacking-trema-or-hyphen	None
vierendertig	34	False		None
vierendertigen	34	False		None
vijfendertig	35	False		None
vijfendertigen	35	False		None
zesendertig	36	False		None
zesendertigen	36	False		None
zevenendertig	37	False		None
zevenendertigen	37	False		None
zeuvenendertig	37	False		zevenendertig
zeuvenendertigen	37	False		None
achtendertig	38	False		None
achtendertigen	38	False		None
negenendertig	39	False		None
negenendertigen	39	False		None
veertig	40	False		None
veertigen	40	False		None
tveertig	40	False	Flemish t-variant	veertig
tveertigen	40	False	Flemish t-variant	None
eenenveertig	41	False		None
eenenveertigen	41	False		None
eenentveertig	41	False	Flemish t-variant	eenenveertig
eenentveertigen	41	False	Flemish t-variant	None
tweeënveertig	42	False		None
tweeënveertigen	42	False		None
twee-enveertig	42	False	hyphen_variant	None
twee-enveertigen	42	False	hyphen_variant	None
tweeenveertig	42	False	lacking-trema-or-hyphen	tweeënveertig
tweeenveertigen	42	False	lacking-trema-or-hyphen	None
tweeëntveertig	42	False	Flemish t-variant	tweeënveertig
tweeëntveertigen	42	False	Flemish t-variant	None
twee-entveertig	42	False	Flemish t-variant,hyphen_variant	twee-enveertig
twee-entveertigen	42	False	Flemish t-variant,hyphen_variant	None
tweeentveertig	42	False	Flemish t-variant,lacking-trema-or-hyphen	tweeënveertig
tweeentveertigen	42	False	Flemish t-variant,lacking-trema-or-hyphen	None
drieënveertig	43	False		None
drieënveertigen	43	False		None
drie-enveertig	43	False	hyphen_variant	None
drie-enveertigen	43	False	hyphen_variant	None
drieenveertig	43	False	lacking-trema-or-hyphen	drieënveertig
drieenveertigen	43	False	lacking-trema-or-hyphen	None
drieëntveertig	43	False	Flemish t-variant	drieënveertig
drieëntveertigen	43	False	Flemish t-variant	None
drie-entveertig	43	False	Flemish t-variant,hyphen_variant	drie-enveertig
drie-entveertigen	43	False	Flemish t-variant,hyphen_variant	None
drieentveertig	43	False	Flemish t-variant,lacking-trema-or-hyphen	drieënveertig
drieentveertigen	43	False	Flemish t-variant,lacking-trema-or-hyphen	None
vierenveertig	44	False		None
vierenveertigen	44	False		None
vierentveertig	44	False	Flemish t-variant	vierenveertig
vierentveertigen	44	False	Flemish t-variant	None
vijfenveertig	45	False		None
vijfenveertigen	45	False		None
vijfentveertig	45	False	Flemish t-variant	vijfenveertig
vijfentveertigen	45	False	Flemish t-variant	None
zesenveertig	46	False		None
zesenveertigen	46	False		None
zesentveertig	46	False	Flemish t-variant	zesenveertig
zesentveertigen	46	False	Flemish t-variant	None
zevenenveertig	47	False		None
zevenenveertigen	47	False		None
zeuvenenveertig	47	False		zevenenveertig
zeuvenenveertigen	47	False		None
zevenentveertig	47	False	Flemish t-variant	zevenenveertig
zevenentveertigen	47	False	Flemish t-variant	None
zeuvenentveertig	47	False	Flemish t-variant	zevenenveertig
zeuvenentveertigen	47	False	Flemish t-variant	None
achtenveertig	48	False		None
achtenveertigen	48	False		None
achtentveertig	48	False	Flemish t-variant	achtenveertig
achtentveertigen	48	False	Flemish t-variant	None
negenenveertig	49	False		None
negenenveertigen	49	False		None
negenentveertig	49	False	Flemish t-variant	negenenveertig
negenentveertigen	49	False	Flemish t-variant	None
vijftig	50	False		None
vijftigen	50	False		None
tvijftig	50	False	Flemish t-variant	vijftig
tvijftigen	50	False	Flemish t-variant	None
eenenvijftig	51	False		None
eenenvijftigen	51	False		None
eenentvijftig	51	False	Flemish t-variant	eenenvijftig
eenentvijftigen	51	False	Flemish t-variant	None
tweeënvijftig	52	False		None
tweeënvijftigen	52	False		None
twee-envijftig	52	False	hyphen_variant	None
twee-envijftigen	52	False	hyphen_variant	None
tweeenvijftig	52	False	lacking-trema-or-hyphen	tweeënvijftig
tweeenvijftigen	52	False	lacking-trema-or-hyphen	None
tweeëntvijftig	52	False	Flemish t-variant	tweeënvijftig
tweeëntvijftigen	52	False	Flemish t-variant	None
twee-entvijftig	52	False	Flemish t-variant,hyphen_variant	twee-envijftig
twee-entvijftigen	52	False	Flemish t-variant,hyphen_variant	None
tweeentvijftig	52	False	Flemish t-variant,lacking-trema-or-hyphen	tweeënvijftig
tweeentvijftigen	52	False	Flemish t-variant,lacking-trema-or-hyphen	None
drieënvijftig	53	False		None
drieënvijftigen	53	False		None
drie-envijftig	53	False	hyphen_variant	None
drie-envijftigen	53	False	hyphen_variant	None
drieenvijftig	53	False	lacking-trema-or-hyphen	drieënvijftig
drieenvijftigen	53	False	lacking-trema-or-hyphen	None
drieëntvijftig	53	False	Flemish t-variant	drieënvijftig
drieëntvijftigen	53	False	Flemish t-variant	None
drie-entvijftig	53	False	Flemish t-variant,hyphen_variant	drie-envijftig
drie-entvijftigen	53	False	Flemish t-variant,hyphen_variant	None
drieentvijftig	53	False	Flemish t-variant,lacking-trema-or-hyphen	drieënvijftig
drieentvijftigen	53	False	Flemish t-variant,lacking-trema-or-hyphen	None
vierenvijftig	54	False		None
vierenvijftigen	54	False		None
vierentvijftig	54	False	Flemish t-variant	vierenvijftig
vierentvijftigen	54	False	Flemish t-variant	None
vijfenvijftig	55	False		None
vijfenvijftigen	55	False		None
vijfentvijftig	55	False	Flemish t-variant	vijfenvijftig
vijfentvijftigen	55	False	Flemish t-variant	None
zesenvijftig	56	False		None
zesenvijftigen	56	False		None
zesentvijftig	56	False	Flemish t-variant	zesenvijftig
zesentvijftigen	56	False	Flemish t-variant	None
zevenenvijftig	57	False		None
zevenenvijftigen	57	False		None
zeuvenenvijftig	57	False		zevenenvijftig
zeuvenenvijftigen	57	False		None
zevenentvijftig	57	False	Flemish t-variant	zevenenvijftig
zevenentvijftigen	57	False	Flemish t-variant	None
zeuvenentvijftig	57	False	Flemish t-variant	zevenenvijftig
zeuvenentvijftigen	57	False	Flemish t-variant	None
achtenvijftig	58	False		None
achtenvijftigen	58	False		None
achtentvijftig	58	False	Flemish t-variant	achtenvijftig
