a	als
annug	ander
aws	alles
awus	alles
boon	gewoon
daahom	daarom
de	dan
dieping	verdieping
dikku	sticker 
doe	toen
es	eens
fin	vindt
fobolt	bijvoorbeeld
fu	van
flij	vrij
foot	grote
gun	ging
hellu	willen 
hapjoetu	computer
hee	weer
heu	heel
his	wist
ie	in 
ieduleen	iedereen
itten	eten
jeddu	verder
jiejie	jullie
jit	ligt
kie	keer
Misjie	marshall
me	maar
muneedu	beneden
na	dan
nohug	nodig
plaatu	praten
Pot	Porter
Putols	Patrols
ra	wat
rege	leeg
sintlaas	Sinterklaas
sas	zag 
sef	zeg
stem	zwem
taar	klaar
teek	betekent 
teesjut	tieshirt
tiemen	klimmen
tof	toch 
u	een
u	ik
u	het
u	hij
u	op
ukope	verkoper
wa	had
zeien	zeiden
zij	zijn
