word	intval	ordinal	status	correction
nulde	0	True		None
eerste	1	True		None
tweede	2	True		None
derde	3	True		None
vierde	4	True		None
vijfde	5	True		None
zesde	6	True		None
zevende	7	True		None
zeuvende	7	True		zevende
achtste	8	True		None
negende	9	True		None
tiende	10	True		None
elfde	11	True		None
twaalfde	12	True		None
dertiende	13	True		None
veertiende	14	True		None
vijftiende	15	True		None
zestiende	16	True		None
zeventiende	17	True		None
zeuventiende	17	True		zeventiende
achttiende	18	True		None
negentiende	19	True		None
twintigste	20	True		None
eenentwintigste	21	True		None
tweeëntwintigste	22	True		None
twee-entwintigste	22	True	hyphen_variant	None
tweeentwintigste	22	True	lacking-trema-or-hyphen	tweeëntwintigste
drieëntwintigste	23	True		None
drie-entwintigste	23	True	hyphen_variant	None
drieentwintigste	23	True	lacking-trema-or-hyphen	drieëntwintigste
vierentwintigste	24	True		None
vijfentwintigste	25	True		None
zesentwintigste	26	True		None
zevenentwintigste	27	True		None
zeuvenentwintigste	27	True		zevenentwintigste
achtentwintigste	28	True		None
negenentwintigste	29	True		None
dertigste	30	True		None
eenendertigste	31	True		None
tweeëndertigste	32	True		None
twee-endertigste	32	True	hyphen_variant	None
tweeendertigste	32	True	lacking-trema-or-hyphen	tweeëndertigste
drieëndertigste	33	True		None
drie-endertigste	33	True	hyphen_variant	None
drieendertigste	33	True	lacking-trema-or-hyphen	drieëndertigste
vierendertigste	34	True		None
vijfendertigste	35	True		None
zesendertigste	36	True		None
zevenendertigste	37	True		None
zeuvenendertigste	37	True		zevenendertigste
achtendertigste	38	True		None
negenendertigste	39	True		None
veertigste	40	True		None
tveertigste	40	True	Flemish t-variant	veertigste
eenenveertigste	41	True		None
eenentveertigste	41	True	Flemish t-variant	eenenveertigste
tweeënveertigste	42	True		None
twee-enveertigste	42	True	hyphen_variant	None
tweeenveertigste	42	True	lacking-trema-or-hyphen	tweeënveertigste
tweeëntveertigste	42	True	Flemish t-variant	tweeënveertigste
twee-entveertigste	42	True	Flemish t-variant,hyphen_variant	twee-enveertigste
tweeentveertigste	42	True	Flemish t-variant,lacking-trema-or-hyphen	tweeënveertigste
drieënveertigste	43	True		None
drie-enveertigste	43	True	hyphen_variant	None
drieenveertigste	43	True	lacking-trema-or-hyphen	drieënveertigste
drieëntveertigste	43	True	Flemish t-variant	drieënveertigste
drie-entveertigste	43	True	Flemish t-variant,hyphen_variant	drie-enveertigste
drieentveertigste	43	True	Flemish t-variant,lacking-trema-or-hyphen	drieënveertigste
vierenveertigste	44	True		None
vierentveertigste	44	True	Flemish t-variant	vierenveertigste
vijfenveertigste	45	True		None
vijfentveertigste	45	True	Flemish t-variant	vijfenveertigste
zesenveertigste	46	True		None
zesentveertigste	46	True	Flemish t-variant	zesenveertigste
zevenenveertigste	47	True		None
zeuvenenveertigste	47	True		zevenenveertigste
zevenentveertigste	47	True	Flemish t-variant	zevenenveertigste
zeuvenentveertigste	47	True	Flemish t-variant	zevenenveertigste
achtenveertigste	48	True		None
achtentveertigste	48	True	Flemish t-variant	achtenveertigste
negenenveertigste	49	True		None
negenentveertigste	49	True	Flemish t-variant	negenenveertigste
vijftigste	50	True		None
tvijftigste	50	True	Flemish t-variant	vijftigste
eenenvijftigste	51	True		None
eenentvijftigste	51	True	Flemish t-variant	eenenvijftigste
tweeënvijftigste	52	True		None
twee-envijftigste	52	True	hyphen_variant	None
tweeenvijftigste	52	True	lacking-trema-or-hyphen	tweeënvijftigste
tweeëntvijftigste	52	True	Flemish t-variant	tweeënvijftigste
twee-entvijftigste	52	True	Flemish t-variant,hyphen_variant	twee-envijftigste
tweeentvijftigste	52	True	Flemish t-variant,lacking-trema-or-hyphen	tweeënvijftigste
drieënvijftigste	53	True		None
drie-envijftigste	53	True	hyphen_variant	None
drieenvijftigste	53	True	lacking-trema-or-hyphen	drieënvijftigste
drieëntvijftigste	53	True	Flemish t-variant	drieënvijftigste
