gymmen	trainen
gymt	traint
gym	train
gym	gymnastiek
gegymd	getraind
gymmend	trainend
gymmende	trainende
gymmenden	trainenden
gymde	trainde
gymden	trainden
smarties	bonbons
Smarties	bonbons
smartie	bonbon
Smartie	bonbon
freerunnen	zwemmen
freerunnend	zwemmend
freerunnende	zwemmende
freerunnenden	zwemmenden
freerun	zwem
freerunt	zwemt
freerunde	zwom
freerunden	zwommen
gejuicet	geperst
gefreerund	gezwommen
cakeje	koekje
cakejes	koekjes
keilen	gooien
keilt	gooit
keil	gooi
keilde	gooide
keilden	gooiden
gekeild	gegooid
gekeilde	gegooide
keilend	gooiend
keilende	gooiende
gekolonist	gespeeld
kolonistte	speelde
kolonistten	speelden
