role	word	 frq
TRG	een	20471
TRG	ballerina	151
TRG	die	17318
TRG	gaat	6716
TRG	het	10501
TRG	water	1673
TRG	over	662
TRG	gras	128
TRG	heen	178
TRG	doen	2998
OTH	ja	65599
OTH	goed	8349
OTH	zo	20133
TRG	ze	7915
TRG	haalt	74
TRG	en	23591
TRG	geeft	590
TRG	de	24433
TRG	bloemetjes	78
TRG	maar	4231
TRG	er	6892
TRG	komt	1723
TRG	zuster	76
TRG	aan	3996
TRG	plukt	100
TRG	bloemetje	82
TRG	is	15835
TRG	voor	2705
TRG	jou	732
TRG	doet	1812
TRG	hem	2186
TRG	in	8422
TRG	haar	1637
TRG	lacht	63
TRG	ogen	142
TRG	dicht	661
TRG	piraat	241
TRG	heeft	2379
TRG	voetbal	65
TRG	gepakt	126
TRG	hij	15782
TRG	schopt	86
TRG	nu	1816
TRG	huilen	807
TRG	meneertje	13
TRG	ik	14850
TRG	weet	1324
TRG	niet	11685
TRG	hoe	375
TRG	dat	14091
TRG	heet	484
TRG	hebt	226
TRG	net	311
TRG	dan	8011
TRG	kijkt	530
TRG	weer	3269
TRG	blij	328
TRG	bal	1472
TRG	uit	3005
TRG	zijn	3334
TRG	hand	340
TRG	prinses	181
TRG	neemt	116
TRG	ijsje	959
TRG	met	4288
TRG	likt	148
TRG	van	4399
TRG	af	1274
TRG	vast	516
TRG	heks	302
TRG	zegt	619
OTH	vertellen	881
OTH	wat	26701
OTH	je	48042
OTH	ziet	889
OTH	anders	1633
OTH	weet	4275
OTH	Sanne	133
OTH	niet	25660
OTH	er	14993
OTH	gebeurt	705
TRG	daarna	318
OTH	wie	3377
OTH	was	4633
OTH	dat	40183
OTH	ook	17449
OTH	alweer	282
TRG	pakt	463
TRG	appel	700
TRG	ladder	189
TRG	klimt	108
TRG	naar	3095
TRG	boven	532
TRG	daar	6483
TRG	cowboy	183
TRG	weg	3122
TRG	mee	1197
TRG	ander	327
TRG	blijft	81
TRG	staan	798
TRG	mond	208
TRG	open	1079
TRG	staat	778
TRG	op	7321
TRG	takje	9
TRG	meer	1319
OTH	had	1907
OTH	ik	31215
OTH	toch	5051
OTH	verteld	202
OTH	of	5036
OTH	meer	4188
OTH	is	44682
OTH	de	35271
OTH	danseres	6
TRG	danseres	28
TRG	had	1082
TRG	gieter	150
OTH	ga	8431
OTH	maar	20205
OTH	rechtop	35
OTH	zitten	3959
OTH	moet	13660
OTH	het	31801
OTH	kunnen	1422
OTH	verstaan	105
TRG	xxx	54129
TRG	toen	5488
TRG	stapte	12
TRG	dokter	215
TRG	eraan	599
TRG	dief	4
TRG	omhoog	215
OTH	doe	3331
OTH	vinger	209
OTH	uit	3631
OTH	mond	628
OTH	hoor	5709
OTH	we	10303
OTH	kan	8446
OTH	jou	2206
TRG	ridder	195
TRG	ligt	318
TRG	huilt	320
TRG	wilde	225
TRG	halen	435
TRG	om	679
OTH	gelukkig	392
TRG	speelt	56
TRG	fijn	29
TRG	wil	3300
TRG	kopen	555
OTH	zeg	3043
TRG	ernaar	52
OTH	heks	49
OTH	kijkt	295
OTH	ernaar	18
OTH	horen	348
OTH	vertel	893
OTH	nog	14071
OTH	eens	8439
TRG	ook	9809
OTH	handen	379
OTH	in	15688
OTH	doen	8212
TRG	trap	167
TRG	pakken	1156
TRG	ja	23743
OTH	cowboy	34
TRG	wat	3134
TRG	ervan	110
TRG	kan	4799
TRG	vanaf	40
TRG	erop	764
TRG	hele	514
TRG	dag	285
TRG	zitten	1644
TRG	boom	1376
TRG	drie	555
TRG	appels	87
TRG	help	122
OTH	zegt	1424
TRG	moet	7096
TRG	nodig	118
TRG	bloemen	263
TRG	bloem	268
TRG	eruit	971
OTH	gaat	7383
OTH	hartstikke	312
TRG	balletdanseres	8
TRG	voetballen	342
TRG	omdat	367
TRG	geschopt	3
TRG	vis	713
TRG	vangen	112
TRG	kon	142
TRG	eindelijk	20
OTH	dan	19308
OTH	hij	15103
OTH	weer	5890
OTH	met	8435
OTH	bal	746
OTH	spelen	1353
OTH	wel	13579
TRG	opeten	532
TRG	nou	5417
TRG	eet	464
OTH	inderdaad	397
TRG	koopt	321
TRG	lenen	18
TRG	ging	2651
TRG	geen	698
TRG	drinken	574
TRG	geven	406
TRG	plantjes	43
TRG	waterkraan	2
TRG	aandoen	112
TRG	even	3562
TRG	tanken	69
TRG	kwam	541
TRG	keek	203
TRG	zet	145
TRG	hoofd	293
TRG	was	2279
TRG	terug	495
TRG	klom	55
TRG	zat	428
TRG	steeds	151
TRG	beneden	455
TRG	gaan	2373
TRG	zei	480
TRG	zo	7546
TRG	goed	812
OTH	een	40000
TRG	vullen	7
TRG	strooit	1
TRG	jong	8
TRG	meisje	2861
TRG	verdrietig	95
TRG	zag	324
TRG	spelen	1008
TRG	prinsesje	37
TRG	gaf	130
TRG	at	71
TRG	kocht	82
TRG	nog	8281
TRG	wegpakken	4
TRG	loopt	697
TRG	kraan	113
TRG	plukken	73
TRG	roze	63
OTH	van	10741
TRG	gevangen	65
TRG	lekker	1285
TRG	tegen	711
TRG	likken	64
TRG	planten	12
TRG	erin	1302
TRG	gietertje	1
TRG	opgehouden	1
TRG	vangt	23
TRG	heel	1684
TRG	trots	4
TRG	vindt	204
TRG	muntje	5
TRG	zit	2167
TRG	tak	104
TRG	roept	152
OTH	klopt	227
OTH	precies	776
TRG	dank	192
TRG	je	5095
TRG	wel	3483
TRG	lief	192
TRG	gooide	125
TRG	begon	59
TRG	te	1384
TRG	centje	42
TRG	vond	76
TRG	haarzelf	8
TRG	appeltje	55
TRG	krakken	2
TRG	haalde	16
TRG	helemaal	962
TRG	alleen	365
TRG	elf	79
TRG	vult	24
TRG	maakt	329
TRG	nat	218
TRG	erbij	378
TRG	fee	16
TRG	bedoel	74
TRG	voetbalt	19
TRG	ermee	165
OTH	heel	4896
TRG	visnet	22
TRG	zij	388
TRG	zichzelf	14
TRG	klimmen	132
TRG	durft	6
OTH	en	25719
OTH	hier	10570
OTH	op	14297
OTH	volgende	406
OTH	heeft	4479
TRG	gooit	320
TRG	zee	170
TRG	valt	1137
OTH	doet	3200
OTH	piraat	8
OTH	ridder	15
OTH	ze	9577
OTH	aan	7798
TRG	slikt	4
OTH	nu	3999
TRG	appeltjes	24
TRG	schreeuwt	19
OTH	meisje	629
OTH	beetje	4198
OTH	harder	93
OTH	praten	541
OTH	hand	604
OTH	voor	5908
OTH	weg	2234
OTH	zie	3736
OTH	dit	6483
OTH	plaatje	309
TRG	uitgevist	1
OTH	haalt	88
OTH	appels	45
OTH	boom	366
TRG	nam	44
TRG	viel	379
TRG	eraf	604
TRG	bijna	346
TRG	bloempot	5
TRG	via	2
TRG	denk	183
TRG	vist	38
TRG	graag	115
TRG	gekocht	126
TRG	slikte	3
TRG	appelboom	41
TRG	deed	160
TRG	plukte	16
TRG	iets	399
TRG	andere	925
TRG	liep	163
TRG	merkte	3
TRG	riep	42
TRG	hard	540
TRG	zangeres	3
TRG	emmer	434
TRG	pakte	142
TRG	plantje	14
TRG	zangeresje	2
TRG	vraagt	102
TRG	probeert	44
OTH	geeft	335
OTH	bloemen	202
OTH	water	1468
TRG	bloempje	6
OTH	als	4561
OTH	wijst	26
OTH	zien	1757
OTH	nou	20196
OTH	toe	1693
OTH	die	23558
OTH	schopt	10
OTH	hoeft	404
OTH	te	4187
OTH	wijzen	25
OTH	want	3582
TRG	grappig	12
TRG	veertje	1
OTH	veertje	3
TRG	kijk	5072
OTH	pakken	1341
TRG	hebben	2044
OTH	wil	5557
OTH	ijsje	152
OTH	kopen	387
TRG	mag	3165
TRG	eentje	297
OTH	hem	4487
OTH	geven	608
TRG	nee	13494
OTH	ervan	92
OTH	slikt	8
OTH	opeten	552
TRG	lopen	649
TRG	man	788
TRG	bij	2747
OTH	klimmen	107
TRG	sproeien	3
TRG	door	540
TRG	natmaken	2
TRG	anders	435
TRG	dood	118
OTH	gaan	5371
OTH	dood	111
OTH	dokter	248
OTH	plukt	5
OTH	bloem	245
OTH	haar	1396
TRG	slaapt	242
OTH	huilt	103
TRG	ijsjes	34
TRG	mevrouw	327
OTH	mevrouw	255
TRG	nieuwe	732
TRG	agent	5
TRG	komen	418
TRG	eigen	148
TRG	schuld	16
TRG	gewoon	303
OTH	nee	19122
TRG	alweer	90
TRG	vol	114
TRG	verpleegster	20
TRG	ernaast	46
TRG	schepnet	24
TRG	springt	85
TRG	misschien	188
TRG	cowboytje	1
TRG	aanlopen	44
TRG	vroeg	53
TRG	of	676
TRG	mocht	104
TRG	schoppen	28
TRG	moest	141
TRG	opvissen	1
TRG	werd	93
TRG	ijscoman	45
TRG	kreeg	157
TRG	keer	618
TRG	toe	721
TRG	zette	11
TRG	stam	8
TRG	bang	151
TRG	want	1093
TRG	beetje	1080
TRG	schopte	18
TRG	opeens	180
TRG	heb	3053
TRG	cent	28
TRG	hapte	1
TRG	lik	16
TRG	opendoen	69
TRG	volmaken	3
TRG	krijgt	297
TRG	wordt	446
TRG	denkt	46
TRG	indoen	32
TRG	deze	5676
TRG	aandraaien	1
TRG	dit	4316
TRG	stopt	38
TRG	haren	74
TRG	dom	30
TRG	mijn	1527
TRG	opvangen	5
TRG	betalen	92
TRG	wit	119
TRG	donker	124
TRG	groen	160
TRG	grijs	21
TRG	dus	369
TRG	jij	2886
TRG	laddertje	3
TRG	wachten	141
TRG	zelf	249
TRG	vallen	847
OTH	gieter	54
TRG	giet	11
TRG	ijsco	33
OTH	ben	3167
OTH	vergeten	206
OTH	danseresje	4
OTH	denk	1976
OTH	volgens	820
OTH	mij	2805
OTH	veel	1608
OTH	staat	1820
OTH	maakt	481
OTH	zoveel	247
OTH	komt	2588
OTH	bij	5071
OTH	likt	9
OTH	prinses	129
OTH	vind	2431
OTH	vertelt	62
TRG	gebruiken	88
OTH	iemand	305
TRG	onder	450
OTH	pakt	180
OTH	he	17280
OTH	zijn	8336
OTH	veer	15
OTH	hoofd	455
TRG	breken	7
TRG	danseresje	1
OTH	jawel	550
OTH	wist	206
OTH	net	1286
TRG	oplikken	3
TRG	eerst	628
TRG	nadat	3
TRG	opgelikt	1
TRG	harde	10
TRG	eten	1207
TRG	stoppen	149
TRG	tennisnetten	1
TRG	tovenaar	21
TRG	wegdoen	32
OTH	verdrietig	32
TRG	alsjeblieft	63
OTH	likken	24
OTH	moeilijke	92
TRG	pikken	6
OTH	valt	659
OTH	klimt	33
OTH	ladder	34
OTH	vallen	336
OTH	zeker	512
OTH	appel	346
OTH	plukken	21
TRG	meenemen	159
OTH	neemt	126
OTH	gewoon	1718
OTH	mee	2531
TRG	worden	175
TRG	gieten	15
TRG	helpt	69
TRG	raapt	8
TRG	handen	191
TRG	boos	321
OTH	bedoel	421
TRG	wist	29
TRG	gedaan	863
TRG	huilde	67
TRG	vind	550
TRG	moeilijk	127
TRG	gevangenis	17
TRG	gegeven	47
TRG	trappen	12
TRG	durf	14
TRG	ziekenhuis	87
OTH	zuster	4
TRG	gevallen	568
TRG	hengel	9
TRG	iemand	162
TRG	ijs	206
TRG	meneer	1248
OTH	hou	356
OTH	voet	195
OTH	even	11149
OTH	stil	132
OTH	hoort	963
OTH	verhaaltje	557
OTH	verder	992
TRG	ziet	594
TRG	straat	297
TRG	o	996
TRG	dinges	22
TRG	strand	203
TRG	schiet	34
TRG	vangnet	4
TRG	waar	1600
OTH	prima	328
TRG	koningin	54
TRG	kraampje	10
OTH	keer	1673
TRG	smullen	11
TRG	nieuw	120
TRG	neer	77
OTH	mooi	2914
TRG	trapt	17
TRG	einde	24
TRG	kraantje	2
TRG	tenen	28
TRG	groene	113
TRG	rots	54
TRG	mij	1914
TRG	direct	22
TRG	meertje	6
TRG	houten	52
TRG	voet	128
TRG	naast	111
TRG	ballet	8
TRG	noem	15
TRG	vergeten	51
TRG	klaar	684
TRG	daarvan	16
TRG	bolletjes	31
TRG	steen	184
TRG	stond	107
OTH	xxx	18646
OTH	super	7
TRG	eens	1578
TRG	wou	389
OTH	vond	362
OTH	daar	10077
TRG	lucht	206
TRG	hartstikke	12
TRG	likte	25
TRG	probeerde	8
TRG	pijn	366
TRG	aanzetten	33
TRG	nemen	137
TRG	he	3319
OTH	leuk	3010
