role	word	 frq
TRG	.	281479
OTH	.	294891
TRG	euro	82
TRG	één	353
TRG	dankjewel	76
OTH	?	99748
TRG	indiaan	352
OTH	!	15794
OTH	heh	40
TRG	!	12791
TRG	oh	3566
TRG	,	13382
TRG	indaan	1
OTH	indiaan	19
OTH	goedzo	349
TRG	ijsjeswinkel	2
TRG	klimmerek	1
TRG	gieteren	3
TRG	Pietpiraat	26
OTH	,	83783
TRG	elfje	6
OTH	supergoed	4
TRG	slikje	3
TRG	aamplantser	4
TRG	ijsman	10
TRG	uitvangen	1
TRG	?	18326
TRG	ofzo	10
OTH	ok	446
TRG	gietert	2
TRG	ziekenmevrouw	2
TRG	kasteelwachter	2
OTH	hey	24
OTH	oh	15784
TRG	visse	3
OTH	apparaatje	2
OTH	één	188
OTH	hé	103
TRG	verpleegzuster	3
TRG	oeps	45
TRG	visnetje	3
TRG	piraatje	2
TRG	oe	195
TRG	ok	31
TRG	ijscowagen	3
TRG	koopte	23
TRG	geefte	2
TRG	likje	16
TRG	ijskraam	31
TRG	jeej	2
TRG	ijscokraampje	2
TRG	indianen	1
TRG	balletdanseresje	3
TRG	ééntje	32
OTH	okee	1029
OTH	Trijanne	1
TRG	geefde	14
TRG	ijsbar	1
TRG	balletmeisje	23
TRG	bloemengieter	1
TRG	boemboem	34
TRG	ijshuis	1
TRG	eurootje	3
TRG	boomhut	1
TRG	cowboyen	1
TRG	ijsjeskar	1
TRG	ziens	7
TRG	ballerinaatje	1
TRG	balletmeid	1
TRG	balleersmeid	1
TRG	indliaan	2
TRG	ijscoboer	22
TRG	ijscobar	2
TRG	ijscobarretje	1
TRG	bloemgieter	1
TRG	Trina	5
TRG	balletkleren	1
TRG	ntje	1
TRG	vissevanger	1
TRG	netje	10
TRG	heenschieten	1
TRG	ijscootje	2
TRG	Piraat	2
TRG	nah	27
TRG	hopsakee	1
TRG	ijskraampje	6
TRG	jamjam	1
TRG	pfieuw	1
TRG	ijsjeskraam	2
TRG	ijscokraam	10
TRG	smile	1
TRG	jippie	7
TRG	smurfenijs	1
TRG	feeprinses	1
TRG	vlakbij	6
OTH	harstikke	10
TRG	buitenkraantje	1
TRG	magt	6
TRG	bloemtje	1
TRG	reuzeblij	1
TRG	heksje	4
TRG	balleresje	1
TRG	dankje	11
TRG	tuingieter	1
TRG	ambulancevrouw	1
TRG	cowby	1
TRG	jaa	20
TRG	okee	163
OTH	Voornaam Kind	2
TRG	pinautomaat	1
TRG	ruikte	4
OTH	balletmeisje	2
TRG	ballarina	1
TRG	ziekenhuismevrouw	2
TRG	hé	348
TRG	riddertje	1
TRG	dr	2
TRG	tatto	2
TRG	papagaai	26
TRG	hihi	39
TRG	boekie	20
TRG	kinn	1
TRG	bee	20
TRG	wroef	2
TRG	ood	3
OTH	issie	5
TRG	hi	148
TRG	hie	41
OTH	hai	86
OTH	papagaai	6
TRG	moen	1
TRG	paad	30
TRG	toto's	1
TRG	tutto's	1
TRG	sies	7
OTH	da's	89
TRG	datte	84
TRG	poppete	1
TRG	Shei'a	1
